year	ethnic_group	crude_death_rate	crude_birth_rate	crude_natural_inc_rate
1994	Others	4.5	31.8	27.2
1995	Others	5.6	31.3	25.7
1996	Others	4.1	30.1	26
1997	Others	3.5	28.6	25.1
1998	Others	4.3	27.5	23.2
1999	Others	4.1	27.7	23.6
2000	Others	3.6	27.9	24.3
2001	Others	3.2	26.1	22.9
2002	Others	3.9	25.2	21.3
2003	Others	3.1	24.8	21.7
2004	Others	2.6	24.8	22.2
2005	Others	2.7	22.6	19.8
2006	Others	2.4	23	20.5
2007	Others	2	22.9	20.9
2008	Others	1.8	23.1	21.3
2009	Others	1.5	21.5	20
2010	Others	1.7	20.8	19.1
2011	Others	1.6	20.4	18.8
2012	Others	1.4	21.5	20.1
2013	Others	1.6	19.6	18
2014	Others	1.9	19.3	17.5
2015	Others	2	17.9	15.9
2016	Others	2	16.9	14.9
